호선,외부코드,전철역코드,전철역명,출구번호,역세권명
2,202,202,을지로입구,3,광교
1,133,150,서울,13,대일학원
1,133,150,서울,13,삼광초등학교
2,221,221,역삼,7,GS타워
2,225,225,방배,1,KT 서초지사
2,225,225,방배,1,남부순환로
2,225,225,방배,1,삼익
2,225,225,방배,1,서울강남지방노동사무소
2,225,225,방배,1,서초여성회관
2,225,225,방배,1,서울남부보훈지청
2,225,225,방배,1,서울지방노동청서울강남지청
2,225,225,방배,2,기독신대
2,225,225,방배,2,남부순환로
2,225,225,방배,2,대우아파트
2,225,225,방배,2,총신예술학교
2,225,225,방배,2,백석예술대학
2,224,224,서초,8,대한변호사협회
2,231,231,신대방,2,신림체육센터
3,320,310,구파발,4,통일로방면
3,322,312,불광,8,국민연금
1,133,150,서울,14,청파동방면
3,323,313,녹번,3,은평등기소
3,323,313,녹번,4,은평소방서
3,323,313,녹번,4,은평구청(보건소)
3,323,313,녹번,4,은평초등학교
3,323,313,녹번,5,한국전력
3,324,314,홍제,2,홍제동
3,345,335,대치,1,남서울종합시장
3,345,335,대치,1,대치1동
3,345,335,대치,1,남서울종합시장
3,345,335,대치,3,대치2동
3,345,335,대치,3,대치지구대
3,345,335,대치,4,남부순환로
3,345,335,대치,4,은마아파트
3,345,335,대치,5,대치2동
3,345,335,대치,6,개포동
3,345,335,대치,7,강남구민회관
3,345,335,대치,7,개포동
3,345,335,대치,7,선경아파트
3,345,335,대치,8,대치1동
3,342,332,양재,12,서초보건소
1,133,150,서울,14,숙대입구
4,414,414,수유,7,수유동
1,147,1814,소사,1,부천세무서
1,147,1814,소사,1,서울신학대학교
1,147,1814,소사,1,세종병원
1,147,1814,소사,1,소사2동파출소
1,147,1814,소사,1,소사구청
1,147,1814,소사,2,서울신학대학교
1,147,1814,소사,2,소사본동사무소
1,147,1814,소사,3,성가병원
1,147,1814,소사,3,소명여중고교
1,147,1814,소사,3,중앙공원
1,149,1822,중동,1,남부경찰서
1,149,1822,중동,2,부천시민회관
1,149,1822,중동,2,부천시청
1,149,1822,중동,2,중부경찰서
1,149,1822,중동,2,중앙공원
4,429,429,신용산,4,E-마트
4,455,1761,정왕,1,경기과학기술대학교
4,455,1761,정왕,1,한국산업기술대
4,456,1762,오이도,1,함현초.중.고교
4,456,1762,오이도,2,함현초.중.고교
1,146,1803,역곡,1,부안초등학교
1,146,1803,역곡,1,부천동여중교
1,146,1803,역곡,1,부천동중학교
1,146,1803,역곡,2,가톨릭대학교
1,146,1803,역곡,2,부천동중학교
1,146,1803,역곡,2,역곡2동사무소
1,146,1803,역곡,2,역곡우체국
1,146,1803,역곡,2,역곡중학교
1,148,1804,부천,1,부천대학
1,148,1804,부천,1,심곡1동사무소
1,148,1804,부천,1,중앙파출소
1,148,1804,부천,2,부천직업전문학교
1,148,1804,부천,2,심곡2동사무소
1,148,1804,부천,3,부천직업전문학교
1,148,1804,부천,3,심곡2동사무소
1,148,1804,부천,4,국제직업전문학교
1,148,1804,부천,4,부천남초등학교
1,148,1804,부천,4,심곡본1동사무소
1,148,1804,부천,5,부천남초등학교
1,150,1805,송내,1,한국산업안전공단
1,150,1805,송내,2,기술신용보증
1,150,1805,송내,2,법원.검찰청
1,150,1805,송내,2,순천향대학병원
1,150,1805,송내,2,한국산업은행
K,K128,1210,팔당,1,한강
B,K228,1855,서현,1,이매촌
B,K228,1855,서현,2,국군수도병원
B,K228,1855,서현,2,새마을연수원
B,K228,1855,서현,2,서현고등학교
B,K228,1855,서현,2,서현파출소
B,K228,1855,서현,2,시범단지
B,K228,1855,서현,3,중앙공원
B,K228,1855,서현,4,분당구청
B,K228,1855,서현,4,롯데마트
B,K228,1855,서현,4,성남교육청
B,K228,1855,서현,5,분당우체국
B,K228,1855,서현,5,제생병원
B,K230,1857,정자,1,신기초등학교
B,K230,1857,정자,1,주택공원
B,K230,1857,정자,1,백현중학교
B,K230,1857,정자,1,한국통신본사
B,K230,1857,정자,2,정자중학교
B,K230,1857,정자,2,백현중학교
B,K230,1857,정자,3,백궁우체국
B,K230,1857,정자,3,서울요금소
1,133,150,서울,14,남영동
G,P139,1328,남춘천,3,춘천MBC
1,141,1701,구로,1,구로5동
1,133,150,서울,14,효창공원입구
1,150,1805,송내,3,투나
